Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;xG;Attendance;Top Team Scorer;Goalkeeper
80;Hertha BSC;GER;16;34;9;6;19;37;71;-34;33;34.1;23500;Stevan Joveti? - 6;Alexander Schwolow
81;Sampdoria;ITA;15;38;10;6;22;46;63;-17;36;37;8756;Francesco Caputo - 11;Emil Audero
82;Lorient;FRA;16;38;8;12;18;35;63;-28;36;43.8;12393;Terem Moffi - 8;Paul Nardi
83;Spezia;ITA;16;38;10;6;22;41;71;-30;36;39.3;6380;Daniele Verde - 8;Ivan Provedel
84;Clermont Foot;FRA;17;38;9;9;20;38;69;-31;36;44.9;10425;Mohamed Bayo - 14;Ouparine Djoco
85;Burnley;ENG;18;38;7;14;17;34;53;-19;35;39;19163;Maxwel Cornet - 9;Nick Pope
86;Levante;ESP;19;38;8;11;19;51;76;-25;35;56.5;14961;José Luis Morales - 13;Cárdenas
87;Saint-Étienne;FRA;18;38;7;11;20;42;77;-35;32;41;21806;Wahbi Khazri - 10;Paul Bernardoni
88;Arminia;GER;17;34;5;13;16;27;53;-26;28;28;16773;Masaya Okugawa - 8;Stefan Ortega
89;Alavés;ESP;20;38;8;7;23;31;65;-34;31;36.9;10952;Joselu - 14;Fernando Pacheco
90;Metz;FRA;19;38;6;13;19;35;69;-34;31;30.2;14413;Nicolas de Préville - 5;Alexandre Oukidja
91;Bordeaux;FRA;20;38;6;13;19;52;91;-39;31;44.8;22083;Hwang Ui-jo - 11;Benoît Costil
92;Salernitana;ITA;17;38;7;10;21;33;78;-45;31;37.7;12900;Federico Bonazzoli - 10;Vid Belec
93;Cagliari;ITA;18;38;6;12;20;34;68;-34;30;39.5;9400;João Pedro - 13;Alessio Cragno
94;Genoa;ITA;19;38;4;16;18;27;60;-33;28;37.8;11628;Mattia Destro - 9;Salvatore Sirigu
95;Venezia;ITA;20;38;6;9;23;34;69;-35;27;36.1;6705;Thomas Henry - 9;Niki Mäenpää
96;Watford;ENG;19;38;6;5;27;34;77;-43;23;38.8;20614;Emmanuel Dennis - 10;Ben Foster
97;Norwich City;ENG;20;38;5;7;26;23;84;-61;22;33.3;26836;Teemu Pukki - 11;Tim Krul
98;Greuther Fürth;GER;18;34;3;9;22;28;82;-54;18;30;7672;Branimir Hrgota - 9;Sascha Burchert
